FR_sad,FR_spr,FR_her,X,Y,year,month,day,pred_weight,pred_length,saduria,sprat,herring,lat,lon,ices_rect,depth
0,0.009242144177449169,0,755.6888747786605,6050.972719167612,2021,2,10,541,40,0,5,0,54.5416,18.9532,38G8,66
0,0.003115264797507788,0,778.4453268290956,6037.816216604207,2021,2,11,321,32,0,1,0,54.4117,19.2916,37G9,41
0,0.004796163069544364,0,778.4453268290956,6037.816216604207,2021,2,11,417,36,0,2,0,54.4117,19.2916,37G9,41
0,0.020754716981132074,0,778.4453268290956,6037.816216604207,2021,2,11,530,38,0,11,0,54.4117,19.2916,37G9,41
0,0,0.018461538461538463,778.4453268290956,6037.816216604207,2021,2,11,650,41,0,0,12,54.4117,19.2916,37G9,41
0.005870373612765694,0,0.019267822736030827,778.1845185136176,6036.863031597798,2021,2,11,519,39,3.046723905025395,0,10,54.4033,19.2867,37G9,33
0.045473491119782015,0,0,781.390824563181,6042.817555219831,2021,2,11,67,21,3.046723905025395,0,0,54.4549,19.3416,37G9,62
0,0.020618556701030927,0,781.390824563181,6042.817555219831,2021,2,11,97,21,0,2,0,54.4549,19.3416,37G9,62
0,0.021052631578947368,0,781.390824563181,6042.817555219831,2021,2,11,95,22,0,2,0,54.4549,19.3416,37G9,62
0,0.007518796992481203,0,781.390824563181,6042.817555219831,2021,2,11,133,24,0,1,0,54.4549,19.3416,37G9,62
0,0.028089887640449437,0,781.390824563181,6042.817555219831,2021,2,11,178,26,0,5,0,54.4549,19.3416,37G9,62
0,0.035,0,781.390824563181,6042.817555219831,2021,2,11,200,26,0,7,0,54.4549,19.3416,37G9,62
0,0.03592814371257485,0,781.390824563181,6042.817555219831,2021,2,11,167,26,0,6,0,54.4549,19.3416,37G9,62
0,0.04034505208333333,0,781.390824563181,6042.817555219831,2021,2,11,192,27,0,7.74625,0,54.4549,19.3416,37G9,62
0,0.030612244897959183,0,781.390824563181,6042.817555219831,2021,2,11,196,27,0,6,0,54.4549,19.3416,37G9,62
0,0.019138755980861243,0,781.390824563181,6042.817555219831,2021,2,11,209,27,0,4,0,54.4549,19.3416,37G9,62
0,0.010582010582010581,0,781.390824563181,6042.817555219831,2021,2,11,189,28,0,2,0,54.4549,19.3416,37G9,62
0,0.039525691699604744,0,781.390824563181,6042.817555219831,2021,2,11,253,29,0,10,0,54.4549,19.3416,37G9,62
0,0.03088803088803089,0,781.390824563181,6042.817555219831,2021,2,11,259,30,0,8,0,54.4549,19.3416,37G9,62
0,0.0038461538461538464,0,781.390824563181,6042.817555219831,2021,2,11,260,30,0,1,0,54.4549,19.3416,37G9,62
0,0,0.01953125,781.390824563181,6042.817555219831,2021,2,11,256,30,0,0,5,54.4549,19.3416,37G9,62
0,0.004,0,781.390824563181,6042.817555219831,2021,2,11,250,30,0,1,0,54.4549,19.3416,37G9,62
0,0.019011406844106463,0,781.390824563181,6042.817555219831,2021,2,11,263,31,0,5,0,54.4549,19.3416,37G9,62
0,0.035211267605633804,0,781.390824563181,6042.817555219831,2021,2,11,284,31,0,10,0,54.4549,19.3416,37G9,62
0,0.026706231454005934,0,781.390824563181,6042.817555219831,2021,2,11,337,32,0,9,0,54.4549,19.3416,37G9,62
0,0.047058823529411764,0,781.390824563181,6042.817555219831,2021,2,11,340,33,0,16,0,54.4549,19.3416,37G9,62
0,0.04143646408839779,0,781.390824563181,6042.817555219831,2021,2,11,362,33,0,15,0,54.4549,19.3416,37G9,62
0,0.012269938650306749,0,781.390824563181,6042.817555219831,2021,2,11,326,33,0,4,0,54.4549,19.3416,37G9,62
0,0.0025906735751295338,0,781.390824563181,6042.817555219831,2021,2,11,386,34,0,1,0,54.4549,19.3416,37G9,62
0,0.0058997050147492625,0,781.390824563181,6042.817555219831,2021,2,11,339,34,0,2,0,54.4549,19.3416,37G9,62
0,0.0374331550802139,0,781.390824563181,6042.817555219831,2021,2,11,374,35,0,14,0,54.4549,19.3416,37G9,62
0,0.013513513513513514,0,781.390824563181,6042.817555219831,2021,2,11,444,35,0,6,0,54.4549,19.3416,37G9,62
0,0.006269977168949771,0.01598173515981735,781.390824563181,6042.817555219831,2021,2,11,438,35,0,2.74625,7,54.4549,19.3416,37G9,62
0,0.006211180124223602,0,781.390824563181,6042.817555219831,2021,2,11,483,36,0,3,0,54.4549,19.3416,37G9,62
0,0.0447427293064877,0,781.390824563181,6042.817555219831,2021,2,11,447,36,0,20,0,54.4549,19.3416,37G9,62
0,0.025943396226415096,0,781.390824563181,6042.817555219831,2021,2,11,424,36,0,11,0,54.4549,19.3416,37G9,62
0,0.00510204081632653,0.02040816326530612,781.390824563181,6042.817555219831,2021,2,11,392,36,0,2,8,54.4549,19.3416,37G9,62
0,0.0025,0,781.390824563181,6042.817555219831,2021,2,11,400,36,0,1,0,54.4549,19.3416,37G9,62
0,0.07239819004524888,0.024886877828054297,781.390824563181,6042.817555219831,2021,2,11,442,37,0,32,11,54.4549,19.3416,37G9,62
0,0.021526418786692758,0,781.390824563181,6042.817555219831,2021,2,11,511,37,0,11,0,54.4549,19.3416,37G9,62
0,0.006550218340611353,0,781.390824563181,6042.817555219831,2021,2,11,458,38,0,3,0,54.4549,19.3416,37G9,62
0,0.0189648033126294,0,781.390824563181,6042.817555219831,2021,2,11,483,38,0,9.16,0,54.4549,19.3416,37G9,62
0,0.017057569296375266,0,781.390824563181,6042.817555219831,2021,2,11,469,38,0,8,0,54.4549,19.3416,37G9,62
0,0.030722433460076047,0,781.390824563181,6042.817555219831,2021,2,11,526,38,0,16.16,0,54.4549,19.3416,37G9,62
0,0.027522935779816515,0,781.390824563181,6042.817555219831,2021,2,11,545,39,0,15,0,54.4549,19.3416,37G9,62
0,0.0052409351145038165,0,781.390824563181,6042.817555219831,2021,2,11,524,39,0,2.74625,0,54.4549,19.3416,37G9,62
0,0.03873239436619718,0,781.390824563181,6042.817555219831,2021,2,11,568,39,0,22,0,54.4549,19.3416,37G9,62
0,0.004893964110929853,0,781.390824563181,6042.817555219831,2021,2,11,613,40,0,3,0,54.4549,19.3416,37G9,62
0,0.0300187617260788,0.0375234521575985,781.390824563181,6042.817555219831,2021,2,11,533,40,0,16,20,54.4549,19.3416,37G9,62
0,0.025688073394495414,0,781.390824563181,6042.817555219831,2021,2,11,545,40,0,14,0,54.4549,19.3416,37G9,62
0,0.05574324324324324,0,781.390824563181,6042.817555219831,2021,2,11,592,40,0,33,0,54.4549,19.3416,37G9,62
0,0.009768076398362892,0,781.390824563181,6042.817555219831,2021,2,11,733,44,0,7.16,0,54.4549,19.3416,37G9,62
0,0.022144522144522144,0,781.390824563181,6042.817555219831,2021,2,11,858,45,0,19,0,54.4549,19.3416,37G9,62
0,0.007,0,781.390824563181,6042.817555219831,2021,2,11,1000,48,0,7,0,54.4549,19.3416,37G9,62
0,0.004415011037527594,0,781.390824563181,6042.817555219831,2021,2,11,906,48,0,4,0,54.4549,19.3416,37G9,62
0,0.03571428571428571,0.017299107142857144,781.390824563181,6042.817555219831,2021,2,11,1792,60,0,64,31,54.4549,19.3416,37G9,62
0,0.0111731843575419,0,745.9386455091859,6065.489350740108,2021,2,12,537,41,0,6,0,54.6766,18.815,38G8,65
0,0.020202020202020204,0,741.8681524278521,6071.023797051257,2021,2,12,198,27,0,4,0,54.7282,18.7566,38G8,57
0.011201190827299246,0.011029411764705883,0,741.8681524278521,6071.023797051257,2021,2,12,272,30,3.046723905025395,3,0,54.7282,18.7566,38G8,57
0,0.008955223880597015,0,741.8681524278521,6071.023797051257,2021,2,12,335,34,0,3,0,54.7282,18.7566,38G8,57
0,0.012,0,741.8681524278521,6071.023797051257,2021,2,12,500,39,0,6,0,54.7282,18.7566,38G8,57
0,0.022878932316491896,0.008579599618684462,741.8681524278521,6071.023797051257,2021,2,12,1049,46,0,24,9,54.7282,18.7566,38G8,57
0,0,0.040059347181008904,569.8174137950163,6033.378922233186,2021,2,13,674,42,0,0,27,54.4433,16.0766,37G6,26
0.021557008761972134,0,0,567.2874754977399,6029.434783486471,2021,2,13,424,35,9.140171715076185,0,0,54.4082,16.0367,37G6,26
2.7443298969072175e-4,0,0,567.2874754977399,6029.434783486471,2021,2,13,388,35,0.10648000000000003,0,0,54.4082,16.0367,37G6,26
0.006580397203078607,0,0,567.2874754977399,6029.434783486471,2021,2,13,463,36,3.046723905025395,0,0,54.4082,16.0367,37G6,26
4.083609958506225e-4,0,0,541.0244633591507,6026.531052001865,2021,2,13,482,34,0.19683000000000003,0,0,54.3849,15.6317,37G5,30
9.68508604206501e-4,0,0,541.0244633591507,6026.531052001865,2021,2,13,523,36,0.50653,0,0,54.3849,15.6317,37G5,30
6.541397849462365e-4,0,0,539.896127697139,6031.539555672174,2021,2,13,186,26,0.12166999999999999,0,0,54.43,15.615,37G5,45
0.01578613422292951,0,0,539.896127697139,6031.539555672174,2021,2,13,193,26,3.046723905025395,0,0,54.43,15.615,37G5,45
4.3639344262295097e-4,0,0,539.896127697139,6031.539555672174,2021,2,13,244,29,0.10648000000000003,0,0,54.43,15.615,37G5,45
0,0,0.017084282460136675,539.896127697139,6031.539555672174,2021,2,13,878,46,0,0,15,54.43,15.615,37G5,45
0,0,0.03133640552995392,603.0294518749134,6060.91210422038,2021,2,15,1085,48,0,0,34,54.685,16.5982,38G6,29
0,0.03773584905660377,0,643.589482946939,6123.44563981405,2021,2,16,159,24,0,6,0,55.2366,17.2582,39G7,90
0,0.02843601895734597,0,643.589482946939,6123.44563981405,2021,2,16,211,28,0,6,0,55.2366,17.2582,39G7,90
0,0.05223880597014925,0,643.589482946939,6123.44563981405,2021,2,16,268,29,0,14,0,55.2366,17.2582,39G7,90
0.010803985478813458,0.02127659574468085,0,643.589482946939,6123.44563981405,2021,2,16,282,30,3.046723905025395,6,0,55.2366,17.2582,39G7,90
0,0.03313253012048193,0,643.589482946939,6123.44563981405,2021,2,16,332,32,0,11,0,55.2366,17.2582,39G7,90
0,0.013029315960912053,0,643.589482946939,6123.44563981405,2021,2,16,307,32,0,4,0,55.2366,17.2582,39G7,90
0,0.02564102564102564,0,643.589482946939,6123.44563981405,2021,2,16,312,32,0,8,0,55.2366,17.2582,39G7,90
0,0.022535211267605635,0,643.589482946939,6123.44563981405,2021,2,16,355,33,0,8,0,55.2366,17.2582,39G7,90
0,0.024128686327077747,0,643.589482946939,6123.44563981405,2021,2,16,373,34,0,9,0,55.2366,17.2582,39G7,90
0,0.005917159763313609,0,643.589482946939,6123.44563981405,2021,2,16,338,34,0,2,0,55.2366,17.2582,39G7,90
0,0.01652892561983471,0,643.589482946939,6123.44563981405,2021,2,16,363,34,0,6,0,55.2366,17.2582,39G7,90
0,0.01991150442477876,0,643.589482946939,6123.44563981405,2021,2,16,452,35,0,9,0,55.2366,17.2582,39G7,90
0,0.04794520547945205,0,643.589482946939,6123.44563981405,2021,2,16,438,35,0,21,0,55.2366,17.2582,39G7,90
0,0.0056022408963585435,0,643.589482946939,6123.44563981405,2021,2,16,357,35,0,2,0,55.2366,17.2582,39G7,90
0,0.05230125523012552,0,643.589482946939,6123.44563981405,2021,2,16,478,35,0,25,0,55.2366,17.2582,39G7,90
0,0.0117096018735363,0,643.589482946939,6123.44563981405,2021,2,16,427,36,0,5,0,55.2366,17.2582,39G7,90
0,0.01991150442477876,0,643.589482946939,6123.44563981405,2021,2,16,452,36,0,9,0,55.2366,17.2582,39G7,90
0,0.020224719101123594,0,643.589482946939,6123.44563981405,2021,2,16,445,36,0,9,0,55.2366,17.2582,39G7,90
0,0.011135857461024499,0,643.589482946939,6123.44563981405,2021,2,16,449,37,0,5,0,55.2366,17.2582,39G7,90
0,0.01079913606911447,0,643.589482946939,6123.44563981405,2021,2,16,463,37,0,5,0,55.2366,17.2582,39G7,90
0,0.02681992337164751,0,643.589482946939,6123.44563981405,2021,2,16,522,37,0,14,0,55.2366,17.2582,39G7,90
0,0.005607476635514018,0,643.589482946939,6123.44563981405,2021,2,16,535,38,0,3,0,55.2366,17.2582,39G7,90
0,0.023032629558541268,0,643.589482946939,6123.44563981405,2021,2,16,521,38,0,12,0,55.2366,17.2582,39G7,90
0,0.013435700575815739,0,643.589482946939,6123.44563981405,2021,2,16,521,38,0,7,0,55.2366,17.2582,39G7,90
0,0.014625228519195612,0,643.589482946939,6123.44563981405,2021,2,16,547,38,0,8,0,55.2366,17.2582,39G7,90
0,0.0367504835589942,0,643.589482946939,6123.44563981405,2021,2,16,517,38,0,19,0,55.2366,17.2582,39G7,90
0,0.011235955056179775,0,643.589482946939,6123.44563981405,2021,2,16,534,38,0,6,0,55.2366,17.2582,39G7,90
0,0.03985507246376811,0,643.589482946939,6123.44563981405,2021,2,16,552,39,0,22,0,55.2366,17.2582,39G7,90
0,0.0071174377224199285,0,643.589482946939,6123.44563981405,2021,2,16,562,39,0,4,0,55.2366,17.2582,39G7,90
0,0.01727447216890595,0,643.589482946939,6123.44563981405,2021,2,16,521,39,0,9,0,55.2366,17.2582,39G7,90
0,0.010954616588419406,0,643.589482946939,6123.44563981405,2021,2,16,639,40,0,7,0,55.2366,17.2582,39G7,90
0,0.005110732538330494,0,643.589482946939,6123.44563981405,2021,2,16,587,40,0,3,0,55.2366,17.2582,39G7,90
0,0.01353637901861252,0,643.589482946939,6123.44563981405,2021,2,16,591,41,0,8,0,55.2366,17.2582,39G7,90
0,0.01565217391304348,0,643.589482946939,6123.44563981405,2021,2,16,575,41,0,9,0,55.2366,17.2582,39G7,90
0,0.02909647779479326,0,643.589482946939,6123.44563981405,2021,2,16,653,42,0,19,0,55.2366,17.2582,39G7,90
0,0.03723404255319149,0,643.589482946939,6123.44563981405,2021,2,16,752,43,0,28,0,55.2366,17.2582,39G7,90
0,0.01171875,0,643.589482946939,6123.44563981405,2021,2,16,768,43,0,9,0,55.2366,17.2582,39G7,90
0,0.014104372355430184,0.02538787023977433,643.589482946939,6123.44563981405,2021,2,16,709,43,0,10,18,55.2366,17.2582,39G7,90
0,0.010494752623688156,0,643.589482946939,6123.44563981405,2021,2,16,667,44,0,7,0,55.2366,17.2582,39G7,90
0,0.01240694789081886,0,643.589482946939,6123.44563981405,2021,2,16,806,45,0,10,0,55.2366,17.2582,39G7,90
0,0.02142857142857143,0,643.589482946939,6123.44563981405,2021,2,16,700,45,0,15,0,55.2366,17.2582,39G7,90
0,0.013669821240799159,0,643.589482946939,6123.44563981405,2021,2,16,951,45,0,13,0,55.2366,17.2582,39G7,90
0,0.023036649214659685,0,643.589482946939,6123.44563981405,2021,2,16,955,46,0,22,0,55.2366,17.2582,39G7,90
0,0.01606425702811245,0,716.7611181022577,6146.677701687063,2021,2,22,249,29,0,4,0,55.4183,18.425,39G8,85
0,0.008955223880597015,0,716.7611181022577,6146.677701687063,2021,2,22,670,41,0,6,0,55.4183,18.425,39G8,85
0,0.017054263565891473,0,716.7611181022577,6146.677701687063,2021,2,22,645,42,0,11,0,55.4183,18.425,39G8,85
0,0.013986013986013986,0,716.7611181022577,6146.677701687063,2021,2,22,858,43,0,12,0,55.4183,18.425,39G8,85
0,0.0171606864274571,0,716.7611181022577,6146.677701687063,2021,2,22,641,45,0,11,0,55.4183,18.425,39G8,85
0,0.017699115044247787,0,716.7611181022577,6146.677701687063,2021,2,22,904,48,0,16,0,55.4183,18.425,39G8,85
0,0.02430939226519337,0.013259668508287293,713.2823831305851,6166.005878575431,2021,2,23,905,48,0,22,12,55.5932,18.385,40G8,92
0,0.003727865796831314,0,715.3563670216352,6160.165295149799,2021,2,23,1073,52,0,4,0,55.5399,18.4133,40G8,89
0,0.04944570987877891,0,717.2446154424802,6141.116097476799,2021,2,23,132,25,0,6.526833703998816,0,55.3682,18.4283,39G8,83
0,0.02097902097902098,0,717.2446154424802,6141.116097476799,2021,2,23,858,46,0,18,0,55.3682,18.4283,39G8,83
0,0.07547169811320754,0,717.2446154424802,6141.116097476799,2021,2,23,1113,48,0,84,0,55.3682,18.4283,39G8,83
0,0.01555352241537054,0,717.2446154424802,6141.116097476799,2021,2,23,1093,49,0,17,0,55.3682,18.4283,39G8,83
0,0.023880597014925373,0,717.2446154424802,6141.116097476799,2021,2,23,1675,57,0,40,0,55.3682,18.4283,39G8,83
0,0.014925373134328358,0,728.6108772852856,6121.809858366973,2021,2,24,737,43,0,11,0,55.1899,18.5916,39G8,85
0,0,0.009791921664626682,728.6108772852856,6121.809858366973,2021,2,24,817,44,0,0,8,55.1899,18.5916,39G8,85
0,0.03180212014134275,0,728.6108772852856,6121.809858366973,2021,2,24,849,45,0,27,0,55.1899,18.5916,39G8,85
0,0.0125,0,777.4555993725946,6066.388212089066,2021,2,25,720,43,0,9,0,54.6683,19.3033,38G9,88
